datetime,index,active_flt_2h,real_pax_checkin_adj,tot_pax,pax_momentum,pax_roll_mean_6h,Group_Ryanair,Ontime_flt,Delayed_flt,EU_flt,INT_flt,NAC_flt,temperatura,v_viento,estado_clima,no_vuelos,weekday_num,is_weekend,is_weekday,is_morning,is_evening,is_night,festivo,Visp_fest
2025-11-17 04:00:00,0,9.0,355.61,1590.0,0.0,0.0,7.0,6.0,3.0,7.0,2.0,0.0,10.5,9.7,1.0,0,0,0,1,1,0,0,0,0
2025-11-17 05:00:00,1,14.0,725.3599999999999,706.0,370.0,0.0,10.0,11.0,3.0,9.0,2.0,3.0,10.0,10.4,1.0,0,0,0,1,1,0,0,0,0
2025-11-17 06:00:00,2,9.0,342.24,709.0,-383.0,0.0,5.0,9.0,0.0,6.0,0.0,3.0,9.6,10.4,1.0,0,0,0,1,1,0,0,0,0
2025-11-17 07:00:00,3,21.0,959.44,3038.0,617.0,0.0,7.0,17.0,4.0,15.0,4.0,2.0,9.0,10.4,1.0,0,0,0,1,1,0,0,0,0
2025-11-17 08:00:00,4,32.0,1817.0,2819.0,858.0,0.0,12.0,21.0,11.0,20.0,10.0,2.0,9.9,10.1,1.0,0,0,0,1,1,0,0,0,0
2025-11-17 09:00:00,5,24.0,1501.1033333333332,1589.0,-316.0,950.0,11.0,16.0,8.0,14.0,10.0,0.0,12.5,7.6,1.0,0,0,0,1,1,0,0,0,0
2025-11-17 10:00:00,6,18.0,952.9266666666666,1602.0,-548.0,1050.0,8.0,14.0,4.0,10.0,7.0,1.0,15.1,6.1,1.0,0,0,0,1,1,0,0,0,0
2025-11-17 11:00:00,7,23.0,1149.14,2378.0,196.0,1120.0,9.0,14.0,9.0,13.0,9.0,1.0,16.6,6.8,3.0,0,0,0,1,1,0,0,0,0
2025-11-17 12:00:00,8,23.0,1219.08,1586.0,70.0,1266.0,6.0,12.0,11.0,15.0,7.0,1.0,17.2,7.6,3.0,0,0,0,1,0,1,0,0,0
2025-11-17 13:00:00,9,14.0,1006.7766666666666,984.0,-212.0,1274.0,3.0,8.0,6.0,9.0,4.0,1.0,17.4,7.2,1.0,0,0,0,1,0,1,0,0,0
2025-11-17 14:00:00,10,13.0,635.005,1448.0,-372.0,1077.0,8.0,10.0,3.0,7.0,5.0,1.0,17.0,7.9,1.0,0,0,0,1,0,1,0,0,0
2025-11-17 15:00:00,11,20.0,1133.225,2137.0,498.0,1016.0,11.0,16.0,4.0,13.0,5.0,2.0,15.9,8.3,3.0,0,0,0,1,0,1,0,0,0
2025-11-17 16:00:00,12,17.0,950.3333333333331,841.0,-183.0,1016.0,8.0,13.0,4.0,12.0,3.0,2.0,14.5,7.2,3.0,0,0,0,1,0,1,0,0,0
2025-11-17 17:00:00,13,17.0,708.5266666666666,2245.0,-242.0,942.0,9.0,14.0,3.0,10.0,5.0,2.0,12.8,6.5,3.0,0,0,0,1,0,1,0,0,0
2025-11-17 18:00:00,14,31.0,1644.53,3463.0,936.0,1013.0,15.0,26.0,5.0,20.0,9.0,2.0,12.3,4.7,3.0,0,0,0,1,0,1,0,0,0
2025-11-17 19:00:00,15,34.0,1966.33,2812.0,322.0,1173.0,17.0,24.0,10.0,22.0,10.0,2.0,11.2,6.5,2.0,0,0,0,1,0,0,1,0,0
2025-11-17 20:00:00,16,17.0,1254.2933333333333,398.0,-712.0,1276.0,9.0,11.0,6.0,9.0,7.0,1.0,10.3,6.1,1.0,0,0,0,1,0,0,1,0,0
2025-11-17 21:00:00,17,2.0,186.88,0.0,-1067.0,1118.0,1.0,2.0,0.0,1.0,1.0,0.0,9.9,7.2,1.0,0,0,0,1,0,0,1,0,0
2025-11-17 22:00:00,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.2,1.0,1,0,0,1,0,0,1,0,0
2025-11-17 23:00:00,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.2,1.0,1,0,0,1,0,0,1,0,0
2025-11-18 00:00:00,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.2,1.0,1,1,0,1,0,0,1,0,0
2025-11-18 01:00:00,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.2,1.0,1,1,0,1,0,0,1,0,0
2025-11-18 02:00:00,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.2,1.0,1,1,0,1,0,0,1,0,0
2025-11-18 03:00:00,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,7.2,1.0,1,1,0,1,0,0,1,0,0
2025-11-18 04:00:00,24,4.0,200.85,698.0,14.0,994.0,3.0,4.0,0.0,3.0,1.0,0.0,8.0,0.0,1.0,0,1,0,1,1,0,0,0,0
2025-11-18 05:00:00,25,8.0,322.19,697.0,121.0,929.0,6.0,8.0,0.0,7.0,1.0,0.0,7.0,1.0,2.0,0,1,0,1,1,0,0,0,0
2025-11-18 06:00:00,26,6.0,405.78,362.0,84.0,723.0,4.0,6.0,0.0,6.0,0.0,0.0,8.0,0.0,1.0,0,1,0,1,1,0,0,0,0
2025-11-18 07:00:00,27,14.0,694.7366666666667,2350.0,289.0,511.0,3.0,13.0,1.0,11.0,3.0,0.0,9.0,4.0,1.0,0,1,0,1,1,0,0,0,0
2025-11-18 08:00:00,28,17.0,1133.8733333333332,971.0,439.0,491.0,5.0,16.0,1.0,12.0,5.0,0.0,11.0,3.0,2.0,0,1,0,1,1,0,0,0,0
2025-11-18 09:00:00,29,8.0,467.45,492.0,-666.0,537.0,4.0,8.0,0.0,5.0,3.0,0.0,11.0,9.0,2.0,0,1,0,1,1,0,0,0,0
2025-11-18 10:00:00,30,9.0,422.7466666666666,1130.0,-45.0,574.0,4.0,8.0,1.0,6.0,3.0,0.0,12.0,9.0,1.0,0,1,0,1,1,0,0,0,0
2025-11-18 11:00:00,31,9.0,641.6633333333333,531.0,219.0,628.0,3.0,7.0,2.0,6.0,3.0,0.0,13.0,5.0,1.0,0,1,0,1,1,0,0,0,0
2025-11-18 12:00:00,32,7.0,477.3466666666666,743.0,-164.0,640.0,2.0,3.0,4.0,3.0,4.0,0.0,14.0,8.0,1.0,0,1,0,1,0,1,0,0,0
2025-11-18 13:00:00,33,4.0,251.0633333333333,0.0,-226.0,566.0,2.0,1.0,3.0,1.0,3.0,0.0,14.0,11.0,1.0,0,1,0,1,0,1,0,0,0
2025-11-18 14:00:00,34,2.0,76.10999999999999,374.0,-175.0,389.0,2.0,2.0,0.0,1.0,1.0,0.0,14.0,11.0,1.0,0,1,0,1,0,1,0,0,0
2025-11-18 15:00:00,35,5.0,254.685,560.0,179.0,354.0,4.0,5.0,0.0,3.0,1.0,1.0,14.0,10.0,1.0,0,1,0,1,0,1,0,0,0
2025-11-18 16:00:00,36,9.0,398.115,1116.0,143.0,350.0,6.0,9.0,0.0,8.0,0.0,1.0,13.0,8.0,1.0,0,1,0,1,0,1,0,0,0
2025-11-18 17:00:00,37,12.0,692.8833333333333,1142.0,295.0,358.0,5.0,12.0,0.0,10.0,2.0,0.0,12.0,8.0,1.0,0,1,0,1,0,1,0,0,0
2025-11-18 18:00:00,38,10.0,695.0066666666667,705.0,2.0,395.0,2.0,9.0,1.0,7.0,3.0,0.0,11.2,7.6,1.0,0,1,0,1,0,1,0,0,0
2025-11-18 19:00:00,39,7.0,392.76,587.0,-302.0,418.0,2.0,6.0,1.0,5.0,2.0,0.0,10.6,5.4,17.0,0,1,0,1,0,0,1,0,0
2025-11-18 20:00:00,40,4.0,277.0,181.0,-116.0,452.0,2.0,4.0,0.0,3.0,1.0,0.0,9.7,6.8,3.0,0,1,0,1,0,0,1,0,0
2025-11-18 21:00:00,41,1.0,43.44,0.0,-234.0,417.0,1.0,1.0,0.0,1.0,0.0,0.0,8.7,6.5,3.0,0,1,0,1,0,0,1,0,0
2025-11-18 22:00:00,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,6.5,3.0,1,1,0,1,0,0,1,0,0
