,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,festivo,Visper_fest,OCC,Name_company,Airline_Type
0,2025-11-17,FR3180,rome,06:00:00,189,EU,Lunes,Mañana,0,0,0.93,Grupo Ryanair,Low_Cost
1,2025-11-17,FR846,milan,06:10:00,189,EU,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
2,2025-11-17,FR2233,al aaroui,06:20:00,189,INT,Lunes,Mañana,0,0,0.95,Grupo Ryanair,Low_Cost
3,2025-11-17,FR8384,budapest,06:25:00,189,EU,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
4,2025-11-17,FR3078,lisbon,06:30:00,189,EU,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
5,2025-11-17,FR3035,krakow,06:45:00,189,EU,Lunes,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
6,2025-11-17,FR8215,london,06:45:00,197,INT,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
7,2025-11-17,FR3028,ibiza,07:35:00,189,NAC,Lunes,Mañana,0,0,0.56,Grupo Ryanair,Low_Cost
8,2025-11-17,FR1342,palma de mallorca,07:40:00,180,NAC,Lunes,Mañana,0,0,0.67,Grupo Ryanair,Low_Cost
9,2025-11-17,FR1165,sevilla,07:55:00,189,NAC,Lunes,Mañana,0,0,0.95,Grupo Ryanair,Low_Cost
10,2025-11-17,FR58,napoli,08:35:00,197,EU,Lunes,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
11,2025-11-17,FR575,bologna,08:40:00,189,EU,Lunes,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
12,2025-11-17,FR12,vienna,09:00:00,180,EU,Lunes,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
13,2025-11-17,FR6078,ouarzazate,09:05:00,189,INT,Lunes,Mañana,0,0,0.9,Grupo Ryanair,Low_Cost
14,2025-11-17,FR2834,charleroi,09:40:00,189,EU,Lunes,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
15,2025-11-17,FR2495,palma de mallorca,09:45:00,189,NAC,Lunes,Mañana,0,0,0.75,Grupo Ryanair,Low_Cost
16,2025-11-17,FR4545,porto,09:50:00,189,EU,Lunes,Mañana,0,0,0.92,Grupo Ryanair,Low_Cost
17,2025-11-17,FR6559,liverpool,10:15:00,189,INT,Lunes,Mañana,0,0,0.91,Grupo Ryanair,Low_Cost
18,2025-11-17,FR3143,milan,10:20:00,189,EU,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
19,2025-11-17,FR7808,london,10:35:00,197,INT,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
20,2025-11-17,FR2239,marrakech,10:45:00,189,INT,Lunes,Mañana,0,0,0.93,Grupo Ryanair,Low_Cost
21,2025-11-17,FR3121,paris,10:45:00,189,EU,Lunes,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
22,2025-11-17,FR3976,dublin,10:45:00,189,INT,Lunes,Mañana,0,0,0.94,Grupo Ryanair,Low_Cost
23,2025-11-17,FR3039,prague,10:55:00,189,EU,Lunes,Mañana,0,0,0.99,Grupo Ryanair,Low_Cost
24,2025-11-17,FR9045,london,11:00:00,189,INT,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
25,2025-11-17,FR7539,milan,11:30:00,189,EU,Lunes,Mañana,0,0,0.98,Grupo Ryanair,Low_Cost
26,2025-11-17,FR1279,copenhagen,11:35:00,189,EU,Lunes,Mañana,0,0,0.97,Grupo Ryanair,Low_Cost
27,2025-11-17,FR777,venice,11:55:00,197,EU,Lunes,Mañana,0,0,0.96,Grupo Ryanair,Low_Cost
28,2025-11-17,FR8217,london,12:00:00,189,INT,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
29,2025-11-17,FR3129,ibiza,12:35:00,189,NAC,Lunes,Tarde,0,0,0.74,Grupo Ryanair,Low_Cost
30,2025-11-17,FR6973,rome,12:35:00,197,EU,Lunes,Tarde,0,0,0.94,Grupo Ryanair,Low_Cost
31,2025-11-17,FR774,torino,12:40:00,189,EU,Lunes,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
32,2025-11-17,FR3108,luxembourg,13:00:00,197,EU,Lunes,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
33,2025-11-17,FR8631,tanger,13:20:00,189,INT,Lunes,Tarde,0,0,0.94,Grupo Ryanair,Low_Cost
34,2025-11-17,FR4585,porto,13:40:00,189,EU,Lunes,Tarde,0,0,0.92,Grupo Ryanair,Low_Cost
35,2025-11-17,FR3189,fes,13:50:00,189,INT,Lunes,Tarde,0,0,0.94,Grupo Ryanair,Low_Cost
36,2025-11-17,FR3792,birmingham,13:55:00,189,INT,Lunes,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
37,2025-11-17,FR2889,palma de mallorca,14:05:00,189,NAC,Lunes,Tarde,0,0,0.9,Grupo Ryanair,Low_Cost
38,2025-11-17,FR3146,oujda,15:10:00,189,INT,Lunes,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
39,2025-11-17,FR1681,frankfurt-hahn,15:35:00,189,EU,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
40,2025-11-17,FR867,venice,16:05:00,189,EU,Lunes,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
41,2025-11-17,FR9811,london,16:05:00,189,INT,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
42,2025-11-17,FR2507,cologne-bonn,16:45:00,197,EU,Lunes,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
43,2025-11-17,FR5718,bratislava,16:50:00,189,EU,Lunes,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
44,2025-11-17,FR6305,milan,16:50:00,189,EU,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
45,2025-11-17,FR6874,dublin,16:55:00,189,INT,Lunes,Tarde,0,0,0.95,Grupo Ryanair,Low_Cost
46,2025-11-17,FR5270,manchester,17:05:00,189,INT,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
47,2025-11-17,FR6300,sofia,17:05:00,189,EU,Lunes,Tarde,0,0,0.97,Grupo Ryanair,Low_Cost
48,2025-11-17,FR1786,vilnius,17:30:00,189,EU,Lunes,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
49,2025-11-17,FR2922,brussels,17:30:00,189,EU,Lunes,Tarde,0,0,0.96,Grupo Ryanair,Low_Cost
50,2025-11-17,FR333,gdansk,17:55:00,189,EU,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
51,2025-11-17,FR269,milan,18:00:00,189,EU,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
52,2025-11-17,FR3320,milan,18:30:00,197,EU,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
53,2025-11-17,FR3174,ibiza,18:45:00,189,NAC,Lunes,Tarde,0,0,0.76,Grupo Ryanair,Low_Cost
54,2025-11-17,FR3185,rabat,19:05:00,189,INT,Lunes,Tarde,0,0,0.92,Grupo Ryanair,Low_Cost
55,2025-11-17,FR9307,cork,19:15:00,189,INT,Lunes,Tarde,0,0,0.92,Grupo Ryanair,Low_Cost
56,2025-11-17,FR8231,london,19:25:00,189,INT,Lunes,Tarde,0,0,0.98,Grupo Ryanair,Low_Cost
57,2025-11-17,FR2896,palma de mallorca,19:40:00,180,NAC,Lunes,Tarde,0,0,0.91,Grupo Ryanair,Low_Cost
58,2025-11-17,FR133,berlin,19:45:00,197,EU,Lunes,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
59,2025-11-17,FR7351,vienna,19:45:00,180,EU,Lunes,Tarde,0,0,0.99,Grupo Ryanair,Low_Cost
60,2025-11-17,FR3080,malaga,20:00:00,189,NAC,Lunes,Noche,0,0,0.96,Grupo Ryanair,Low_Cost
61,2025-11-17,FR3807,charleroi,20:05:00,189,EU,Lunes,Noche,0,0,0.96,Grupo Ryanair,Low_Cost
62,2025-11-17,FR6341,rome,20:10:00,189,EU,Lunes,Noche,0,0,0.95,Grupo Ryanair,Low_Cost
63,2025-11-17,FR6597,manchester,20:10:00,189,INT,Lunes,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
64,2025-11-17,FR5710,napoli,20:40:00,189,EU,Lunes,Noche,0,0,0.99,Grupo Ryanair,Low_Cost
65,2025-11-17,FR8394,budapest,20:40:00,197,EU,Lunes,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
66,2025-11-17,FR2098,bologna,20:50:00,189,EU,Lunes,Noche,0,0,0.97,Grupo Ryanair,Low_Cost
67,2025-11-17,FR3928,trieste,20:50:00,189,EU,Lunes,Noche,0,0,0.97,Grupo Ryanair,Low_Cost
68,2025-11-17,FR878,venice,20:55:00,189,EU,Lunes,Noche,0,0,0.96,Grupo Ryanair,Low_Cost
69,2025-11-17,FR6275,edinburgh,21:05:00,197,INT,Lunes,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
70,2025-11-17,FR6920,dublin,21:10:00,189,INT,Lunes,Noche,0,0,0.95,Grupo Ryanair,Low_Cost
71,2025-11-17,FR2402,sevilla,21:30:00,189,NAC,Lunes,Noche,0,0,0.96,Grupo Ryanair,Low_Cost
72,2025-11-17,FR4084,warsaw,21:30:00,189,EU,Lunes,Noche,0,0,0.98,Grupo Ryanair,Low_Cost
73,2025-11-17,FR3168,newcastle,21:45:00,189,INT,Lunes,Noche,0,0,0.92,Grupo Ryanair,Low_Cost
74,2025-11-17,FR4587,porto,21:45:00,197,EU,Lunes,Noche,0,0,0.92,Grupo Ryanair,Low_Cost
75,2025-11-17,FR1527,valletta,21:50:00,197,EU,Lunes,Noche,0,0,0.95,Grupo Ryanair,Low_Cost
76,2025-11-17,FR2250,marrakech,21:50:00,197,EU,Lunes,Noche,0,0,0.92,Grupo Ryanair,Low_Cost
77,2025-11-17,FR8574,rome,22:20:00,189,EU,Lunes,Noche,0,0,0.95,Grupo Ryanair,Low_Cost
