,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest,Airline_Type,OCC
2,2025-11-17,Grupo easy,EC7105,geneva,06:15:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
6,2025-11-17,Grupo easy,EC8062,london,06:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.97
9,2025-11-17,Grupo easy,EC7141,strasbourg,07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
10,2025-11-17,Grupo easy,EC7151,milan,07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.97
14,2025-11-17,Norwegian Air Sweden AOC,D85510,copenhagen,08:00:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0,Low_Cost,0.97
17,2025-11-17,Grupo easy,EC1376,geneva,08:45:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
20,2025-11-17,Grupo wizz,W62048,krakow,09:05:00,En hora,239,Airbus A321neo,S,EU,Lunes,Mañana,0,0,Low_Cost,0.97
21,2025-11-17,Volotea,V72327,strasbourg,09:10:00,Retrasado,180,Airbus A320,U,EU,Lunes,Mañana,0,0,Low_Cost,0.95
22,2025-11-17,Air Arabia Maroc,3O398,rabat,09:20:00,En hora,174,Airbus A320,Y,INT,Lunes,Mañana,0,0,Low_Cost,0.85
23,2025-11-17,Eurowings,EW2521,stuttgart,09:20:00,En hora,180,Airbus A320,S,EU,Lunes,Mañana,0,0,Low_Cost,0.95
24,2025-11-17,Grupo wizz,W43176,bucharest,09:25:00,En hora,230,Airbus A321,U,EU,Lunes,Mañana,0,0,Low_Cost,0.95
25,2025-11-17,Grupo wizz,W45088,tirana,09:25:00,En hora,239,Airbus A321neo,W,INT,Lunes,Mañana,0,0,Low_Cost,0.95
26,2025-11-17,Grupo wizz,W62376,budapest,09:25:00,En hora,239,Airbus A321neo,U,EU,Lunes,Mañana,0,0,Low_Cost,0.97
27,2025-11-17,Volotea,V73573,asturias,09:30:00,Retrasado,156,Airbus A319,S,NAC,Lunes,Mañana,0,0,Low_Cost,0.95
28,2025-11-17,Grupo easy,EC1030,"basel, switzerland/mulhouse",09:35:00,En hora,180,Airbus A320,R,EU,Lunes,Mañana,0,0,Low_Cost,0.95
30,2025-11-17,Transavia,HV6062,rotterdam,09:40:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0,Low_Cost,0.95
