,fecha_scrapeo,Num_flight,Name_Destiny,Time_flight,flight_capacity,Type_f,week_day,day_time,OCC,OCC_pred
0,2025-11-17,FR3180,rome,06:00:00,189,EU,Lunes,Mañana,,0.95
1,2025-11-17,FR846,milan,06:10:00,189,EU,Lunes,Mañana,,0.95
2,2025-11-17,FR2233,al aaroui,06:20:00,189,INT,Lunes,Mañana,,0.82
3,2025-11-17,FR8384,budapest,06:25:00,189,EU,Lunes,Mañana,,0.98
4,2025-11-17,FR3078,lisbon,06:30:00,189,EU,Lunes,Mañana,,0.98
5,2025-11-17,FR3035,krakow,06:45:00,189,EU,Lunes,Mañana,,0.98
6,2025-11-17,FR8215,london,06:45:00,197,INT,Lunes,Mañana,,0.92
7,2025-11-17,FR3028,ibiza,07:35:00,189,NAC,Lunes,Mañana,,0.56
8,2025-11-17,FR1342,palma de mallorca,07:40:00,180,NAC,Lunes,Mañana,,0.64
9,2025-11-17,FR1165,sevilla,07:55:00,189,NAC,Lunes,Mañana,,0.96
10,2025-11-17,FR58,napoli,08:35:00,197,EU,Lunes,Mañana,,0.98
11,2025-11-17,FR575,bologna,08:40:00,189,EU,Lunes,Mañana,,0.97
12,2025-11-17,FR12,vienna,09:00:00,180,EU,Lunes,Mañana,,0.98
13,2025-11-17,FR6078,ouarzazate,09:05:00,189,INT,Lunes,Mañana,,0.6
14,2025-11-17,FR2834,charleroi,09:40:00,189,EU,Lunes,Mañana,,0.95
15,2025-11-17,FR2495,palma de mallorca,09:45:00,189,NAC,Lunes,Mañana,,0.83
16,2025-11-17,FR4545,porto,09:50:00,189,EU,Lunes,Mañana,,0.9
17,2025-11-17,FR6559,liverpool,10:15:00,189,INT,Lunes,Mañana,,0.95
18,2025-11-17,FR3143,milan,10:20:00,189,EU,Lunes,Mañana,,0.95
19,2025-11-17,FR7808,london,10:35:00,197,INT,Lunes,Mañana,,0.94
20,2025-11-17,FR2239,marrakech,10:45:00,189,INT,Lunes,Mañana,,0.91
21,2025-11-17,FR3121,paris,10:45:00,189,EU,Lunes,Mañana,,0.98
22,2025-11-17,FR3976,dublin,10:45:00,189,INT,Lunes,Mañana,,0.95
23,2025-11-17,FR3039,prague,10:55:00,189,EU,Lunes,Mañana,,0.98
24,2025-11-17,FR9045,london,11:00:00,189,INT,Lunes,Mañana,,0.94
25,2025-11-17,FR7539,milan,11:30:00,189,EU,Lunes,Mañana,,0.95
26,2025-11-17,FR1279,copenhagen,11:35:00,189,EU,Lunes,Mañana,,0.97
27,2025-11-17,FR777,venice,11:55:00,197,EU,Lunes,Mañana,,0.97
28,2025-11-17,FR8217,london,12:00:00,189,INT,Lunes,Tarde,,0.94
29,2025-11-17,FR3129,ibiza,12:35:00,189,NAC,Lunes,Tarde,,0.77
30,2025-11-17,FR6973,rome,12:35:00,197,EU,Lunes,Tarde,,0.95
