,fecha_scrapeo,temperatura,lluvia,d_viento,v_viento,racha_max,presion_hpa,dur_sol,estado_clima
0,2025-11-16 01:00:00,13.3,1.3,270.0,13.3,27.8,1007.9,0.0,9.0
1,2025-11-16 02:00:00,13.5,2.1,232.0,11.2,31.5,1007.3,0.0,9.0
2,2025-11-16 03:00:00,14.6,0.9,211.0,21.6,35.2,1006.2,0.0,8.0
3,2025-11-16 04:00:00,15.7,0.0,230.0,27.0,35.2,1005.6,0.0,3.0
4,2025-11-16 05:00:00,15.2,0.0,256.0,18.7,35.2,1005.9,0.0,3.0
5,2025-11-16 06:00:00,14.4,0.0,272.0,13.0,31.5,1005.6,0.0,3.0
6,2025-11-16 07:00:00,13.7,0.0,288.0,15.1,33.3,1006.1,0.0,3.0
7,2025-11-16 08:00:00,14.3,0.0,289.0,15.5,31.5,1006.8,21.0,3.0
8,2025-11-16 09:00:00,15.5,0.0,285.0,14.0,33.3,1007.3,30.0,1.0
9,2025-11-16 10:00:00,16.6,0.0,281.0,14.4,35.2,1007.4,36.0,1.0
10,2025-11-16 11:00:00,17.5,0.0,283.0,15.8,37.0,1007.2,41.0,1.0
11,2025-11-16 12:00:00,18.2,0.0,278.0,16.2,38.9,1006.6,45.0,1.0
12,2025-11-16 13:00:00,18.5,0.0,276.0,15.5,40.8,1006.3,51.0,2.0
13,2025-11-16 14:00:00,18.3,0.0,274.0,15.1,42.6,1006.1,54.0,3.0
14,2025-11-16 15:00:00,17.8,0.0,271.0,14.8,42.6,1006.3,48.0,3.0
15,2025-11-16 16:00:00,16.7,0.0,267.0,13.0,38.9,1006.9,38.0,1.0
16,2025-11-16 17:00:00,15.1,0.0,265.0,11.2,33.3,1007.6,22.0,2.0
17,2025-11-16 18:00:00,13.7,0.0,268.0,7.9,29.6,1008.5,0.0,2.0
18,2025-11-16 19:00:00,12.7,0.0,280.0,7.9,25.9,1009.3,0.0,1.0
19,2025-11-16 20:00:00,11.9,0.0,280.0,7.2,24.1,1009.6,0.0,1.0
20,2025-11-16 21:00:00,11.0,0.0,288.0,6.5,24.1,1009.9,0.0,1.0
21,2025-11-16 22:00:00,10.3,0.0,294.0,7.2,22.2,1010.1,0.0,1.0
22,2025-11-16 23:00:00,10.0,0.0,298.0,7.9,20.4,1010.2,0.0,1.0
23,2025-11-17 01:00:00,10.0,0.0,284.0,9.0,20.4,1009.8,0.0,1.0
24,2025-11-17 02:00:00,10.2,0.0,289.0,9.7,22.2,1009.9,0.0,1.0
25,2025-11-17 03:00:00,10.5,0.0,288.0,9.7,24.1,1009.8,0.0,1.0
26,2025-11-17 04:00:00,10.5,0.0,297.0,9.7,24.1,1010.0,0.0,1.0
27,2025-11-17 05:00:00,10.0,0.0,305.0,10.4,24.1,1010.3,0.0,1.0
28,2025-11-17 06:00:00,9.6,0.0,314.0,10.4,22.2,1010.7,0.0,1.0
29,2025-11-17 07:00:00,9.0,0.0,316.0,10.4,24.1,1011.1,0.0,1.0
30,2025-11-17 08:00:00,9.9,0.0,316.0,10.1,22.2,1011.7,37.0,1.0
31,2025-11-17 09:00:00,12.5,0.0,312.0,7.6,22.2,1012.3,50.0,1.0
32,2025-11-17 10:00:00,15.1,0.0,307.0,6.1,22.2,1012.5,55.0,1.0
33,2025-11-17 11:00:00,16.6,0.0,65.0,6.8,20.4,1012.1,54.0,3.0
34,2025-11-17 12:00:00,17.2,0.0,109.0,7.6,20.4,1011.2,54.0,3.0
35,2025-11-17 13:00:00,17.4,0.0,113.0,7.2,20.4,1011.0,55.0,1.0
36,2025-11-17 14:00:00,17.0,0.0,133.0,7.9,20.4,1011.1,51.0,1.0
37,2025-11-17 15:00:00,15.9,0.0,113.0,8.3,18.5,1011.6,44.0,3.0
38,2025-11-17 16:00:00,14.5,0.0,41.0,7.2,16.7,1012.2,34.0,3.0
39,2025-11-17 17:00:00,12.8,0.0,20.0,6.5,13.0,1012.7,18.0,3.0
40,2025-11-17 18:00:00,12.3,0.0,318.0,4.7,9.3,1013.1,0.0,3.0
41,2025-11-17 19:00:00,11.2,0.0,308.0,6.5,11.1,1013.4,0.0,2.0
42,2025-11-17 20:00:00,10.3,0.0,304.0,6.1,11.1,1013.6,0.0,1.0
43,2025-11-17 21:00:00,9.9,0.0,298.0,7.2,13.0,1013.8,0.0,1.0
44,2025-11-17 22:00:00,9.4,0.0,293.0,6.5,11.1,1014.0,0.0,1.0
45,2025-11-17 23:00:00,9.0,0.0,310.0,6.5,9.3,1014.1,0.0,1.0
46,2025-11-18 01:00:00,8.0,0.0,290.0,2.0,16.7,1014.0,0.0,1.0
47,2025-11-18 02:00:00,8.0,0.0,0.0,0.0,14.8,1014.0,0.0,2.0
48,2025-11-18 03:00:00,8.0,0.0,280.0,3.0,18.5,1014.0,0.0,2.0
49,2025-11-18 04:00:00,8.0,0.0,0.0,0.0,16.7,1014.0,0.0,1.0
50,2025-11-18 05:00:00,7.0,0.0,299.0,1.0,18.5,1014.0,0.0,2.0
51,2025-11-18 06:00:00,8.0,0.0,0.0,0.0,22.0,1014.0,0.0,1.0
52,2025-11-18 07:00:00,9.0,0.0,280.0,4.0,24.0,1015.0,0.0,1.0
53,2025-11-18 08:00:00,11.0,0.0,230.0,3.0,27.0,1016.0,30.0,2.0
54,2025-11-18 09:00:00,11.0,0.0,260.0,9.0,18.5,1017.0,44.0,2.0
55,2025-11-18 10:00:00,12.0,0.0,260.0,9.0,25.0,1017.0,50.0,1.0
56,2025-11-18 11:00:00,13.0,0.0,320.0,5.0,23.0,1017.0,52.0,1.0
57,2025-11-18 12:00:00,14.0,0.0,270.0,8.0,20.0,1016.0,52.0,1.0
58,2025-11-18 13:00:00,14.0,0.0,270.0,11.0,14.8,1016.0,54.0,1.0
59,2025-11-18 14:00:00,14.0,0.0,280.0,11.0,13.0,1016.0,55.0,1.0
60,2025-11-18 15:00:00,14.0,0.0,270.0,10.0,11.1,1015.0,51.0,1.0
61,2025-11-18 16:00:00,13.0,0.0,270.0,8.0,16.7,1015.0,42.0,1.0
62,2025-11-18 17:00:00,12.0,0.0,320.0,8.0,13.0,1016.0,22.0,1.0
63,2025-11-18 18:00:00,11.2,0.0,247.0,7.6,21.0,1017.1,0.0,1.0
