time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-12-18 00:00:00,11.3,8.7,84,0,,9,13,9.3,1025.2,0,2
2025-12-18 01:00:00,11.1,8.7,85,0,,10,14.8,7.4,1025.1,0,2
2025-12-18 02:00:00,10.5,8.3,86,0,,8,14.8,5.5,1025.1,0,2
2025-12-18 03:00:00,10,7.9,87,0,,7,16.7,3.7,1025,0,2
2025-12-18 04:00:00,9.7,7.8,88,0,,7,16.7,1.8,1025,0,2
2025-12-18 05:00:00,9.4,7.3,87,0,,10,18.5,1.8,1025,0,2
2025-12-18 06:00:00,9,7.3,89,0,,5,18.5,3.7,1024.9,0,2
2025-12-18 07:00:00,10.5,7.4,81,0,,5,18.5,0,1024.9,0,2
2025-12-18 08:00:00,10.5,7.2,80,0,,6,18.5,3.7,1025,0,2
2025-12-18 09:00:00,10.7,7.2,79,0,,7,18.5,0,1025.2,22,2
2025-12-18 10:00:00,11.2,7.9,80,0,,6,18.5,0,1025.3,35,2
2025-12-18 11:00:00,12,8.5,79,0,,8,16.7,0,1025.3,43,2
2025-12-18 12:00:00,13.4,9.1,75,0,,13,16.7,0,1025,45,2
2025-12-18 13:00:00,14.8,9.8,72,0,,12,13,1.8,1024.3,51,2
2025-12-18 14:00:00,15.7,10.2,70,0,,13,11.1,3.7,1023.7,50,2
2025-12-18 15:00:00,15.9,10.6,71,0,,360,9.3,0,1023.6,49,2
2025-12-18 16:00:00,15.4,11.2,76,0,,345,9.3,1.8,1023.3,47,2
2025-12-18 17:00:00,14.6,11.2,80,0,,333,9.3,1.8,1023.2,34,2
2025-12-18 18:00:00,13.6,10.9,84,0,,2,7.4,1.8,1023.1,17,2
2025-12-18 19:00:00,10.6,10.4,99,0,,15,7.4,0,1023.1,0,2
2025-12-18 20:00:00,10.5,9.7,95,0,,16,7.4,3.7,1023.2,0,1
2025-12-18 21:00:00,10.4,9.5,94,0,,17,9.3,5.5,1023.2,0,1
2025-12-18 22:00:00,10.1,8.4,89,0,,11,11.1,7.4,1023.2,0,2
2025-12-18 23:00:00,10,8.3,89,0,,11,13,11.1,1023.1,0,2
2025-12-19 00:00:00,9.9,8.2,89,0,,9,14.8,13,1022.7,0,2
