time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-11-20 00:00:00,7,3.1,76,0,,320,17,20.4,1013,0,1
2025-11-20 01:00:00,6.9,2.6,74,0,,330,13,20.4,1013.1,0,1
2025-11-20 02:00:00,7,3.1,76,0,,330,15,22.2,1013,0,1
2025-11-20 03:00:00,6,3,81,0,,320,19,20.4,1012,0,1
2025-11-20 04:00:00,6,2.1,76,0,,330,24,25.9,1012,0,1
2025-11-20 05:00:00,5,2,81,0,,320,22,27.8,1012,0,2
2025-11-20 06:00:00,6,3,81,0,,320,22,27.8,1012,0,2
2025-11-20 07:00:00,5.9,2.7,80,0,,340,21,24.1,1013,0,2
2025-11-20 08:00:00,6,3,81,0,,320,22,25.9,1013,0,2
2025-11-20 09:00:00,7,3.1,76,0,,330,24,26,1013,20,2
2025-11-20 10:00:00,8,4,76,0,,340,20,22,1014,23,2
2025-11-20 11:00:00,9,4,71,0,,320,22,23,1014,21,3
2025-11-20 12:00:00,11,4,62,0,,340,24,20,1013,22,3
2025-11-20 13:00:00,12.3,4.5,59,0,,360,21,20.4,1013.5,25,3
2025-11-20 14:00:00,13,4.9,58,0,,300,7,18.5,1013,31,3
2025-11-20 15:00:00,13,4.9,58,0,,140,9,18.5,1012,36,2
2025-11-20 16:00:00,13,4.9,58,0,,140,7,16.7,1013,31,2
2025-11-20 17:00:00,13,7,67,0,,173,4,16.7,1013,28,1
2025-11-20 18:00:00,13,7,67,0,,200,4,16.7,1013,13,2
2025-11-20 19:00:00,10.3,6.6,78,0,,320,11,14.8,1013.9,0,2
2025-11-20 20:00:00,9,6.1,82,0,,320,9,14.8,1014,0,2
2025-11-20 21:00:00,8,2,66,0,,290,7,16.7,1014,0,2
2025-11-20 22:00:00,9,0.9,57,0,,300,17,18.5,1014,0,2
2025-11-20 23:00:00,9,-0.1,53,0,,10,4,16.7,1013,0,2
