,Date_holiday,Name_holiday,Type_holiday,holiday_eve
0,2025-01-01,AÃ±o Nuevo,(e),2024-12-31
1,2025-01-06,Reyes,(e),2025-01-05
2,2025-04-18,Viernes Santo,(e),2025-04-17
3,2025-04-21,Lunes de Pascua Florida,(a),2025-04-20
4,2025-05-01,Fiesta del Trabajo,(e),2025-04-30
5,2025-06-09,Lunes de Pascua Granada,(L),2025-06-08
6,2025-06-24,San Juan,(a),2025-06-23
7,2025-08-15,La AsunciÃ³n,(e),2025-08-14
8,2025-09-11,Diada Nacional de CataluÃ±a,(a),2025-09-10
9,2025-09-24,Mare de DÃ©u de la MercÃ¨,(l),2025-09-23
10,2025-11-01,Todos los Santos,(e),2025-10-31
11,2025-12-06,DÃ­a de la ConstituciÃ³n,(e),2025-12-05
12,2025-12-08,La Inmaculada,(e),2025-12-07
13,2025-12-25,Navidad,(e),2025-12-24
14,2025-12-26,San Esteban,(a),2025-12-25
