,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time
0,2025-11-17,Grupo Ryanair,FR3180,Rome (FCO),06:00:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana
1,2025-11-17,Grupo Ryanair,FR846,Milan (BGY),06:10:00,Retrasado,189,Boeing 737-800,S,EU,Lunes,Mañana
2,2025-11-17,Grupo easy,EC7105,Geneva (GVA),06:15:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana
3,2025-11-17,Grupo Ryanair,FR2233,Al Aaroui (NDR),06:20:00,Retrasado,189,Boeing 737-800,W,INT,Lunes,Mañana
4,2025-11-17,Grupo Ryanair,FR8384,Budapest (BUD),06:25:00,En hora,189,Boeing 737-800,R,EU,Lunes,Mañana
5,2025-11-17,Grupo Ryanair,FR3078,Lisbon (LIS),06:30:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana
6,2025-11-17,Grupo easy,EC8062,London (LGW),06:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Mañana
7,2025-11-17,Grupo Ryanair,FR3035,Krakow (KRK),06:45:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana
8,2025-11-17,Grupo Ryanair,FR8215,London (STN),06:45:00,En hora,197,Boeing 737 MAX 8,Y,INT,Lunes,Mañana
9,2025-11-17,Grupo easy,EC7141,Strasbourg (SXB),07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana
10,2025-11-17,Grupo easy,EC7151,Milan (MXP),07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana
11,2025-11-17,Grupo Ryanair,FR3028,Ibiza (IBZ),07:35:00,En hora,189,Boeing 737-800,U,NAC,Lunes,Mañana
12,2025-11-17,Grupo Ryanair,LW1342,Palma de Mallorca (PMI),07:40:00,En hora,180,Airbus A320,R,NAC,Lunes,Mañana
13,2025-11-17,Grupo Ryanair,FR1165,Sevilla (SVQ),07:55:00,En hora,189,Boeing 737-800,S,NAC,Lunes,Mañana
14,2025-11-17,Norwegian Air Sweden AOC,D85510,Copenhagen (CPH),08:00:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana
15,2025-11-17,Grupo Ryanair,FR58,Napoli (NAP),08:35:00,En hora,197,Boeing 737 MAX 8,U,EU,Lunes,Mañana
16,2025-11-17,Grupo Ryanair,FR575,Bologna (BLQ),08:40:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana
17,2025-11-17,Grupo easy,EC1376,Geneva (GVA),08:45:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana
18,2025-11-17,Grupo Ryanair,LW12,Vienna (VIE),09:00:00,En hora,180,Airbus A320,R,EU,Lunes,Mañana
19,2025-11-17,Grupo Ryanair,FR6078,Ouarzazate (OZZ),09:05:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana
