,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
0,01/12/2025,Ryanair,FR3180,Rome (FCO),06:00,"En hora, Ha salido",189.0,Boeing 737-800,S25
1,01/12/2025,Ryanair,FR846,Milan (BGY),06:10,"En hora, Ha salido",189.0,Boeing 737-800,S20
2,01/12/2025,easyJet Europe,EC7105,Geneva (GVA),06:15,"En hora, Ha salido",156.0,Airbus A319,R11
3,01/12/2025,Ryanair,FR2233,Al Aaroui (NDR),06:20,"En hora, Ha salido",189.0,Boeing 737-800,W45
4,01/12/2025,Ryanair,FR8384,Budapest (BUD),06:25,"En hora, Ha salido",197.0,Boeing 737 MAX 8,U33
5,01/12/2025,Ryanair,FR3078,Lisbon (LIS),06:30,"En hora, Ha salido",189.0,Boeing 737-800,S23
6,01/12/2025,easyJet Europe,EC8062,London (LGW),06:45,"Retrasado, Ha salido 07:04",156.0,Airbus A319,M6
7,01/12/2025,Ryanair,FR3035,Krakow (KRK),06:45,"En hora, Ha salido",189.0,Boeing 737-800,U32
8,01/12/2025,Ryanair,FR8215,London (STN),06:45,"En hora, Ha salido",197.0,Boeing 737 MAX 8,Y54
9,01/12/2025,easyJet Europe,EC7141,Strasbourg (SXB),07:20,"En hora, Ha salido",156.0,Airbus A319,R9
10,01/12/2025,easyJet Europe,EC7151,Milan (MXP),07:20,"En hora, Ha salido",156.0,Airbus A319,R10
11,01/12/2025,Ryanair,FR3028,Ibiza (IBZ),07:35,"En hora, Ha salido",189.0,Boeing 737-800,S22
12,01/12/2025,Lauda Europe,LW1342,Palma de Mallorca (PMI),07:40,"En hora, Ha salido",180.0,Airbus A320,R14
13,01/12/2025,Ryanair,FR1165,Sevilla (SVQ),07:55,"En hora, Ha salido",189.0,Boeing 737-800,U35
14,01/12/2025,Norwegian Air Sweden AOC,D85510,Copenhagen (CPH),08:00,"En hora, Ha salido",189.0,Boeing 737-800,R13
15,01/12/2025,Ryanair,FR58,Napoli (NAP),08:35,"Retrasado, Ha salido 08:45",197.0,Boeing 737 MAX 8,U31
16,01/12/2025,Ryanair,FR575,Bologna (BLQ),08:40,"En hora, Ha salido",189.0,Boeing 737-800,S21
17,01/12/2025,easyJet Europe,EC1376,Geneva (GVA),08:45,"En hora, Ha salido",156.0,Airbus A319,R11
18,01/12/2025,Lauda Europe,LW12,Vienna (VIE),09:00,"En hora, Ha salido",180.0,Airbus A320,S24
19,01/12/2025,Ryanair,FR6078,Ouarzazate (OZZ),09:05,"En hora, Ha salido",189.0,Boeing 737-800,Y55
20,01/12/2025,Wizz Air,W62048,Krakow (KRK),09:05,"En hora, Ha salido",239.0,Airbus A321neo,U33
21,01/12/2025,Volotea,V72327,Strasbourg (SXB),09:10,"Retrasado, Ha salido 09:23",156.0,Airbus A319,R13
22,01/12/2025,Air Arabia Maroc,3O398,Rabat (RBA),09:20,"En hora, Ha salido",174.0,Airbus A320,Y58
23,01/12/2025,Eurowings,EW2521,Stuttgart (STR),09:20,"Retrasado, Ha salido 09:59",156.0,Airbus A319,S21
