,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate,Type_f,week_day,day_time,festivo,Visper_fest
0,2025-11-17,Grupo Ryanair,FR3180,rome,06:00:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
1,2025-11-17,Grupo Ryanair,FR846,milan,06:10:00,Retrasado,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0
2,2025-11-17,Grupo easy,EC7105,geneva,06:15:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0
3,2025-11-17,Grupo Ryanair,FR2233,al aaroui,06:20:00,Retrasado,189,Boeing 737-800,W,INT,Lunes,Mañana,0,0
4,2025-11-17,Grupo Ryanair,FR8384,budapest,06:25:00,En hora,189,Boeing 737-800,R,EU,Lunes,Mañana,0,0
5,2025-11-17,Grupo Ryanair,FR3078,lisbon,06:30:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
6,2025-11-17,Grupo easy,EC8062,london,06:45:00,Retrasado,156,Airbus A319,R,EU,Lunes,Mañana,0,0
7,2025-11-17,Grupo Ryanair,FR3035,krakow,06:45:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0
8,2025-11-17,Grupo Ryanair,FR8215,london,06:45:00,En hora,197,Boeing 737 MAX 8,Y,INT,Lunes,Mañana,0,0
9,2025-11-17,Grupo easy,EC7141,strasbourg,07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0
10,2025-11-17,Grupo easy,EC7151,milan,07:20:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0
11,2025-11-17,Grupo Ryanair,FR3028,ibiza,07:35:00,En hora,189,Boeing 737-800,U,NAC,Lunes,Mañana,0,0
12,2025-11-17,Grupo Ryanair,LW1342,palma de mallorca,07:40:00,En hora,180,Airbus A320,R,NAC,Lunes,Mañana,0,0
13,2025-11-17,Grupo Ryanair,FR1165,sevilla,07:55:00,En hora,189,Boeing 737-800,S,NAC,Lunes,Mañana,0,0
14,2025-11-17,Norwegian Air Sweden AOC,D85510,copenhagen,08:00:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
15,2025-11-17,Grupo Ryanair,FR58,napoli,08:35:00,En hora,197,Boeing 737 MAX 8,U,EU,Lunes,Mañana,0,0
16,2025-11-17,Grupo Ryanair,FR575,bologna,08:40:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0
17,2025-11-17,Grupo easy,EC1376,geneva,08:45:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0
18,2025-11-17,Grupo Ryanair,LW12,vienna,09:00:00,En hora,180,Airbus A320,R,EU,Lunes,Mañana,0,0
19,2025-11-17,Grupo Ryanair,FR6078,ouarzazate,09:05:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana,0,0
20,2025-11-17,Grupo wizz,W62048,krakow,09:05:00,En hora,239,Airbus A321neo,S,EU,Lunes,Mañana,0,0
21,2025-11-17,Volotea,V72327,strasbourg,09:10:00,Retrasado,180,Airbus A320,U,EU,Lunes,Mañana,0,0
22,2025-11-17,Air Arabia Maroc,3O398,rabat,09:20:00,En hora,174,Airbus A320,Y,INT,Lunes,Mañana,0,0
23,2025-11-17,Eurowings,EW2521,stuttgart,09:20:00,En hora,180,Airbus A320,S,EU,Lunes,Mañana,0,0
24,2025-11-17,Grupo wizz,W43176,bucharest,09:25:00,En hora,230,Airbus A321,U,EU,Lunes,Mañana,0,0
25,2025-11-17,Grupo wizz,W45088,tirana,09:25:00,En hora,239,Airbus A321neo,W,INT,Lunes,Mañana,0,0
26,2025-11-17,Grupo wizz,W62376,budapest,09:25:00,En hora,239,Airbus A321neo,U,EU,Lunes,Mañana,0,0
27,2025-11-17,Volotea,V73573,asturias,09:30:00,Retrasado,156,Airbus A319,S,NAC,Lunes,Mañana,0,0
28,2025-11-17,Grupo easy,EC1030,"basel, switzerland/mulhouse",09:35:00,En hora,180,Airbus A320,R,EU,Lunes,Mañana,0,0
29,2025-11-17,Grupo Ryanair,FR2834,charleroi,09:40:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
30,2025-11-17,Transavia,HV6062,rotterdam,09:40:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0
31,2025-11-17,Eurowings,EW9441,dusseldorf,09:45:00,En hora,180,Airbus A320,S,EU,Lunes,Mañana,0,0
32,2025-11-17,Grupo Ryanair,FR2495,palma de mallorca,09:45:00,Retrasado,189,Boeing 737-800,R,NAC,Lunes,Mañana,0,0
33,2025-11-17,Grupo Ryanair,FR4545,porto,09:50:00,En hora,189,Boeing 737-800,R,EU,Lunes,Mañana,0,0
34,2025-11-17,Air Serbia,JU581,belgrade,09:55:00,En hora,144,Airbus A319,W,INT,Lunes,Mañana,0,0
35,2025-11-17,Grupo easy,EC7656,lisbon,10:00:00,En hora,230,Airbus A321,R,EU,Lunes,Mañana,0,0
36,2025-11-17,Transavia,HV5132,amsterdam,10:05:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
37,2025-11-17,Transavia,TO4751,paris,10:05:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
38,2025-11-17,Grupo wizz,W46018,rome,10:05:00,Retrasado,239,Airbus A321neo,U,EU,Lunes,Mañana,0,0
39,2025-11-17,Grupo Ryanair,FR6559,liverpool,10:15:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana,0,0
40,2025-11-17,Grupo wizz,W61476,warsaw,10:15:00,Retrasado,230,Airbus A321,S,EU,Lunes,Mañana,0,0
41,2025-11-17,Grupo Ryanair,FR3143,milan,10:20:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
42,2025-11-17,Grupo easy,U22324,london,10:25:00,Retrasado,186,Airbus A320neo,M,INT,Lunes,Mañana,0,0
43,2025-11-17,Grupo Ryanair,FR7808,london,10:35:00,En hora,197,Boeing 737 MAX 8,Y,INT,Lunes,Mañana,0,0
44,2025-11-17,Grupo easy,EC7131,nice/cote d'azur,10:40:00,En hora,156,Airbus A319,R,EU,Lunes,Mañana,0,0
45,2025-11-17,Grupo easy,U28056,london,10:40:00,Retrasado,180,Airbus A320,M,INT,Lunes,Mañana,0,0
46,2025-11-17,Grupo Ryanair,FR2239,marrakech,10:45:00,En hora,189,Boeing 737-800,Y,INT,Lunes,Mañana,0,0
47,2025-11-17,Grupo Ryanair,FR3121,paris,10:45:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
48,2025-11-17,Grupo Ryanair,FR3976,dublin,10:45:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana,0,0
49,2025-11-17,Grupo Ryanair,FR3039,prague,10:55:00,Retrasado,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
50,2025-11-17,Grupo Ryanair,FR9045,london,11:00:00,En hora,189,Boeing 737-800,W,INT,Lunes,Mañana,0,0
51,2025-11-17,Grupo easy,U22002,manchester,11:20:00,Retrasado,180,Airbus A320,M,INT,Lunes,Mañana,0,0
52,2025-11-17,FLYONE Armenia,3F232,yerevan,11:30:00,En hora,180,Airbus A320,Y,INT,Lunes,Mañana,0,0
53,2025-11-17,Aer Lingus,EI563,dublin,11:30:00,En hora,174,Airbus A320,Y,INT,Lunes,Mañana,0,0
54,2025-11-17,Grupo Ryanair,FR7539,milan,11:30:00,En hora,189,Boeing 737-800,R,EU,Lunes,Mañana,0,0
55,2025-11-17,Transavia,TO4755,paris,11:30:00,En hora,189,Boeing 737-800,U,EU,Lunes,Mañana,0,0
56,2025-11-17,Grupo Ryanair,FR1279,copenhagen,11:35:00,En hora,189,Boeing 737-800,S,EU,Lunes,Mañana,0,0
