,Unnamed: 0,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
0,118.0,17/11/2025 14-06-56,Ryanair,FR3180,Rome (FCO),06:00,Ha salido,189.0,Boeing 737-800,U
1,119.0,17/11/2025 14-06-56,Ryanair,FR846,Milan (BGY),06:10,"Retrasado, Ha salido",189.0,Boeing 737-800,S
2,120.0,17/11/2025 14-06-56,easyJet Europe,EC7105,Geneva (GVA),06:15,Ha salido,156.0,Airbus A319,R
3,121.0,17/11/2025 14-06-56,Ryanair,FR2233,Al Aaroui (NDR),06:20,"Retrasado, Ha salido",189.0,Boeing 737-800,
4,122.0,17/11/2025 14-06-56,Ryanair,FR8384,Budapest (BUD),06:25,Ha salido,189.0,Boeing 737-800,R
5,123.0,17/11/2025 14-06-56,Ryanair,FR3078,Lisbon (LIS),06:30,Ha salido,189.0,Boeing 737-800,U
6,124.0,17/11/2025 14-06-56,easyJet Europe,EC8062,London (LGW),06:45,"Retrasado, Ha salido",156.0,Airbus A319,R
7,125.0,17/11/2025 14-06-56,Ryanair,FR3035,Krakow (KRK),06:45,Ha salido,189.0,Boeing 737-800,S
8,126.0,17/11/2025 14-06-56,Ryanair,FR8215,London (STN),06:45,Ha salido,197.0,Boeing 737 MAX 8,Y
9,127.0,17/11/2025 14-06-56,easyJet Europe,EC7141,Strasbourg (SXB),07:20,Ha salido,156.0,Airbus A319,R
10,128.0,17/11/2025 14-06-56,easyJet Europe,EC7151,Milan (MXP),07:20,Ha salido,156.0,Airbus A319,R
11,129.0,17/11/2025 14-06-56,Ryanair,FR3028,Ibiza (IBZ),07:35,Ha salido,189.0,Boeing 737-800,U
12,130.0,17/11/2025 14-06-56,Lauda Europe,LW1342,Palma de Mallorca (PMI),07:40,Ha salido,180.0,Airbus A320,R
13,131.0,17/11/2025 14-06-56,Ryanair,FR1165,Sevilla (SVQ),07:55,Ha salido,189.0,Boeing 737-800,S
14,132.0,17/11/2025 14-06-56,Norwegian Air Sweden AOC,D85510,Copenhagen (CPH),08:00,Ha salido,189.0,Boeing 737-800,U
15,133.0,17/11/2025 14-06-56,Ryanair,FR58,Napoli (NAP),08:35,Ha salido,197.0,Boeing 737 MAX 8,U
16,134.0,17/11/2025 14-06-56,Ryanair,FR575,Bologna (BLQ),08:40,Ha salido,189.0,Boeing 737-800,S
17,135.0,17/11/2025 14-06-56,easyJet Europe,EC1376,Geneva (GVA),08:45,Ha salido,156.0,Airbus A319,R
18,136.0,17/11/2025 14-06-56,Lauda Europe,LW12,Vienna (VIE),09:00,Ha salido,180.0,Airbus A320,R
19,137.0,17/11/2025 14-06-56,Ryanair,FR6078,Ouarzazate (OZZ),09:05,Ha salido,189.0,Boeing 737-800,W
20,138.0,17/11/2025 14-06-56,Wizz Air,W62048,Krakow (KRK),09:05,Ha salido,239.0,Airbus A321neo,S
21,139.0,17/11/2025 14-06-56,Volotea,V72327,Strasbourg (SXB),09:10,"Retrasado, Ha salido",180.0,Airbus A320,U
22,140.0,17/11/2025 14-06-56,Air Arabia Maroc,3O398,Rabat (RBA),09:20,Ha salido,180.0,Airbus A320,
23,141.0,17/11/2025 14-06-56,Eurowings,EW2521,Stuttgart (STR),09:20,Ha salido,180.0,Airbus A320,S
24,142.0,17/11/2025 14-06-56,Wizz Air Malta,W43176,Bucharest (OTP),09:25,Ha salido,230.0,Airbus A321,U
25,143.0,17/11/2025 14-06-56,Wizz Air Malta,W45088,Tirana (TIA),09:25,Ha salido,239.0,Airbus A321neo,W
26,144.0,17/11/2025 14-06-56,Wizz Air,W62376,Budapest (BUD),09:25,Ha salido,239.0,Airbus A321neo,U
27,145.0,17/11/2025 14-06-56,Volotea,V73573,Asturias (OVD),09:30,"Retrasado, Ha salido",156.0,Airbus A319,S
28,146.0,17/11/2025 14-06-56,easyJet Europe,EC1030,"Basel, Switzerland/Mulhouse (BSL)",09:35,Ha salido,180.0,Airbus A320,R
29,147.0,17/11/2025 14-06-56,Ryanair,FR2834,Charleroi (CRL),09:40,"Retrasado, Ha salido",189.0,Boeing 737-800,U
30,148.0,17/11/2025 14-06-56,Transavia,HV6062,Rotterdam (RTM),09:40,Ha salido,189.0,Boeing 737-800,S
31,149.0,17/11/2025 14-06-56,Eurowings,EW9441,Dusseldorf (DUS),09:45,Ha salido,180.0,Airbus A320,S
32,150.0,17/11/2025 14-06-56,Ryanair,FR2495,Palma de Mallorca (PMI),09:45,"Retrasado, Ha salido",189.0,Boeing 737-800,R
