Unnamed: 0,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,Aircraft,Gate
0.0,16/11/2025 23-03-05,Ryanair,FR3166,Palermo (PMO),11:00,Ha salido,,,
1.0,16/11/2025 23-03-05,Norwegian Air Sweden AOC,D81741,Oslo (OSL),11:15,Ha salido,197.0,Boeing 737 MAX 8-200,
2.0,16/11/2025 23-03-05,Aer Lingus,EI563,Dublin (DUB),11:30,Ha salido,189.0,Boeing 737-8AS,
3.0,16/11/2025 23-03-05,easyJet Europe,EC7139,Rennes/Saint-Jacques (RNS),11:45,Ha salido,,,
4.0,16/11/2025 23-03-05,Icelandair,FI597,Keflavik (KEF),11:50,Ha salido,,,
5.0,16/11/2025 23-03-05,Lauda Europe,LW2889,Palma de Mallorca (PMI),11:55,Ha salido,,,R
6.0,16/11/2025 23-03-05,Ryanair,FR3129,Ibiza (IBZ),12:05,"Retrasado, Ha salido",189.0,Boeing 737-8AS,
7.0,16/11/2025 23-03-05,Ryanair,FR3976,Dublin (DUB),12:25,"Retrasado, Ha salido",,,
8.0,16/11/2025 23-03-05,Ryanair,FR1527,Valletta (MLA),12:30,Ha salido,,,
9.0,16/11/2025 23-03-05,Ryanair,FR2402,Sevilla (SVQ),12:30,Ha salido,189.0,Boeing 737-8AS,
10.0,16/11/2025 23-03-05,Volotea,V72167,Lille/Lesquin (LIL),12:35,Ha salido,189.0,Boeing 737-8AS,
11.0,16/11/2025 23-03-05,Ryanair,FR6300,Sofia (SOF),12:45,Ha salido,,,R
12.0,16/11/2025 23-03-05,Pegasus Airlines,PC1092,Istanbul (SAW),12:45,"Retrasado, Ha salido",189.0,Boeing 737-8AS,
13.0,16/11/2025 23-03-05,Ryanair,FR2511,Cologne-Bonn (CGN),12:55,"Retrasado, Ha salido",189.0,Boeing 737-8AS,
14.0,16/11/2025 23-03-05,Ryanair,FR8598,Reggio Calabria (REG),13:05,Ha salido,,,
15.0,16/11/2025 23-03-05,Volotea,V71445,Olbia (OLB),13:05,Ha salido,189.0,Boeing 737-8AS,
16.0,16/11/2025 23-03-05,Wizz Air Malta,W46330,Milan (MXP),13:10,Ha salido,,,
17.0,16/11/2025 23-03-05,Ryanair,FR3121,Beauvais (BVA),13:20,Ha salido,189.0,Boeing 737-8AS,
