,fecha_scrapeo,Name_company,Num_flight,Name_Destiny,Time_flight,flight_state,flight_capacity,flight_Aircraft,Gate
0,20/11/2025 14-38-34,Ryanair,FR8215,London (STN),06:00,Ha salido,189.0,Boeing 737-800,Y
1,20/11/2025 14-38-34,Ryanair,FR2918,Brussels (BRU),06:05,Ha salido,189.0,Boeing 737-800,U
2,20/11/2025 14-38-34,easyJet Europe,EC7105,Geneva (GVA),06:10,Ha salido,156.0,Airbus A319,R
3,20/11/2025 14-38-34,Ryanair,FR3976,Dublin (DUB),06:15,Ha salido,197.0,Boeing 737 MAX 8,W
4,20/11/2025 14-38-34,easyJet Europe,EC7191,Glasgow (GLA),06:40,Ha salido,156.0,Airbus A319,R
5,20/11/2025 14-38-34,Ryanair,FR3049,Krakow (KRK),06:40,Ha salido,197.0,Boeing 737 MAX 8,S
6,20/11/2025 14-38-34,Ryanair,FR3028,Ibiza (IBZ),06:45,Ha salido,189.0,Boeing 737-800,S
7,20/11/2025 14-38-34,Lauda Europe,LW2495,Palma de Mallorca (PMI),07:20,Ha salido,180.0,Airbus A320,R
8,20/11/2025 14-38-34,Ryanair,FR133,Berlin (BER),07:25,Ha salido,189.0,Boeing 737-800,U
9,20/11/2025 14-38-34,easyJet Europe,EC7101,"Basel, Switzerland/Mulhouse (BSL)",07:30,Ha salido,156.0,Airbus A319,R
10,20/11/2025 14-38-34,easyJet Europe,EC7151,Milan (MXP),07:30,"Retrasado, Ha salido",156.0,Airbus A319,R
11,20/11/2025 14-38-34,Ryanair,FR2507,Cologne-Bonn (CGN),07:45,Ha salido,197.0,Boeing 737 MAX 8,S
12,20/11/2025 14-38-34,Norwegian Air Sweden AOC,D85510,Copenhagen (CPH),07:55,Ha salido,189.0,Boeing 737-800,S
13,20/11/2025 14-38-34,Ryanair,FR575,Bologna (BLQ),08:05,Ha salido,189.0,Boeing 737-800,S
14,20/11/2025 14-38-34,Ryanair,FR774,Torino (TRN),08:05,"Retrasado, Ha salido",189.0,Boeing 737-800,U
15,20/11/2025 14-38-34,Ryanair,FR3928,Trieste (TRS),08:40,Ha salido,189.0,Boeing 737-800,U
16,20/11/2025 14-38-34,Ryanair,FR6973,Rome (FCO),08:40,Ha salido,189.0,Boeing 737-800,S
17,20/11/2025 14-38-34,Wizz Air Malta,W43938,Chisinau (KIV),09:00,"Retrasado, Ha salido",180.0,Airbus A320,Y
18,20/11/2025 14-38-34,Ryanair,FR5710,Napoli (NAP),09:05,Ha salido,189.0,Boeing 737-800,S
19,20/11/2025 14-38-34,Wizz Air,W62048,Krakow (KRK),09:05,"Retrasado, Ha salido",239.0,Airbus A321neo,U
20,20/11/2025 14-38-34,Lauda Europe,LW12,Vienna (VIE),09:10,"Retrasado, Ha salido",180.0,Airbus A320,U
21,20/11/2025 14-38-34,Wizz Air,W61914,Vilnius (VNO),09:20,"Retrasado, Ha salido",239.0,Airbus A321neo,
22,20/11/2025 14-38-34,Wizz Air Malta,W43176,Bucharest (OTP),09:25,"Retrasado, Ha salido",239.0,Airbus A321neo,U
23,20/11/2025 14-38-34,Wizz Air,W62376,Budapest (BUD),09:25,"Retrasado, Ha salido",180.0,Airbus A321neo,U
24,20/11/2025 14-38-34,Ryanair,FR3320,Milan (BGY),09:30,Ha salido,189.0,Boeing 737-800,U
